experiment,method,baseline,metric,n_tasks,median_diff,win_rate,statistic,p_value
meta_only,model,global_default,nregret@1,72,0.035275055750054865,0.18055555555555555,477.0,2.640266718056883e-06
tfidf_meta,model,global_default,nregret@1,72,-0.005673319690069861,0.6388888888888888,655.0,0.001549960362146113
tfidf_only,model,global_default,nregret@1,72,0.0,0.041666666666666664,14.0,0.09116079400519664
meta_only,model,random,nregret@1,72,-0.08341582727601927,0.7777777777777778,471.0,2.2379370113516215e-06
tfidf_meta,model,random,nregret@1,72,-0.1813570193846131,0.9861111111111112,1.0,1.7300746127616433e-13
tfidf_only,model,random,nregret@1,72,-0.1303062958223185,0.875,263.0,3.681796072200122e-09
meta_only,model,global_default,nregret@3,72,0.027100205148807822,0.09722222222222222,219.0,5.5667955122824456e-09
tfidf_meta,model,global_default,nregret@3,72,0.0,0.4861111111111111,435.0,0.0081055302449332
tfidf_only,model,global_default,nregret@3,72,0.0,0.041666666666666664,18.0,0.09948088075636445
meta_only,model,random,nregret@3,72,-0.005326656760159346,0.5972222222222222,1207.0,0.5482055724398658
tfidf_meta,model,random,nregret@3,72,-0.04151064164956021,0.9722222222222222,30.0,5.786757336084804e-13
tfidf_only,model,random,nregret@3,72,-0.032736063160546294,0.875,274.0,5.341720999773529e-09
tfidf_meta,model,global_default,spearman,72,0.06604026242631389,0.75,614.0,8.558920578534345e-05
tfidf_only,model,global_default,spearman,72,-0.003581423394438621,0.4027777777777778,928.0,0.06569318707369062
tfidf_meta,model,random,spearman,72,0.7679999485443529,1.0,0.0,1.658751802376397e-13
tfidf_only,model,random,spearman,72,0.7103758369236426,1.0,0.0,1.658751802376397e-13
