experiment,method,baseline,metric,n_tasks,median_diff,win_rate,statistic,p_value
meta_only,ridge,global_default,nregret@1,72,0.035275055750054865,0.18055555555555555,477.0,2.640266718056883e-06
meta_only,random_forest,global_default,nregret@1,72,0.035275055750054865,0.18055555555555555,477.0,2.640266718056883e-06
meta_only,extra_trees,global_default,nregret@1,72,0.035275055750054865,0.18055555555555555,477.0,2.640266718056883e-06
meta_only,hist_gbrt,global_default,nregret@1,72,0.035275055750054865,0.18055555555555555,477.0,2.640266718056883e-06
tfidf_meta,extra_trees,global_default,nregret@1,72,-0.005673319690069861,0.6388888888888888,655.0,0.001549960362146113
tfidf_meta,random_forest,global_default,nregret@1,72,-0.003774832638215153,0.5972222222222222,744.0,0.0035306124057513347
tfidf_meta,hist_gbrt,global_default,nregret@1,72,-0.001045161934702702,0.5277777777777778,783.0,0.058509113955192635
tfidf_meta,ridge,global_default,nregret@1,72,0.0,0.3333333333333333,731.0,0.33508487023558686
tfidf_only,extra_trees,global_default,nregret@1,72,0.0,0.041666666666666664,14.0,0.09116079400519664
tfidf_only,ridge,global_default,nregret@1,72,0.000704220214541949,0.3055555555555556,704.0,0.1203519021384789
tfidf_only,hist_gbrt,global_default,nregret@1,72,0.0,0.3611111111111111,346.0,0.1871234751005676
tfidf_only,random_forest,global_default,nregret@1,72,0.0,0.19444444444444445,152.0,0.55060588584296
meta_only,ridge,random,nregret@1,72,-0.08341582727601927,0.7777777777777778,471.0,2.2379370113516215e-06
meta_only,random_forest,random,nregret@1,72,-0.08341582727601927,0.7777777777777778,471.0,2.2379370113516215e-06
meta_only,extra_trees,random,nregret@1,72,-0.08341582727601927,0.7777777777777778,471.0,2.2379370113516215e-06
meta_only,hist_gbrt,random,nregret@1,72,-0.08341582727601927,0.7777777777777778,471.0,2.2379370113516215e-06
tfidf_meta,extra_trees,random,nregret@1,72,-0.1813570193846131,0.9861111111111112,1.0,1.7300746127616433e-13
tfidf_meta,random_forest,random,nregret@1,72,-0.1793559975538592,0.9861111111111112,72.0,3.1756493245665793e-12
tfidf_meta,hist_gbrt,random,nregret@1,72,-0.16125924924624896,0.9166666666666666,137.0,3.976160180514138e-11
tfidf_meta,ridge,random,nregret@1,72,-0.1316943942182734,0.9305555555555556,143.0,4.988017141581901e-11
tfidf_only,ridge,random,nregret@1,72,-0.13349138959377105,0.9444444444444444,138.0,4.129600551609473e-11
tfidf_only,hist_gbrt,random,nregret@1,72,-0.14377145652611462,0.9305555555555556,163.0,1.0535589469264804e-10
tfidf_only,random_forest,random,nregret@1,72,-0.15069775360546198,0.9166666666666666,171.0,1.4159617857299722e-10
tfidf_only,extra_trees,random,nregret@1,72,-0.1303062958223185,0.875,263.0,3.681796072200122e-09
meta_only,ridge,global_default,nregret@3,72,0.027100205148807822,0.09722222222222222,219.0,5.5667955122824456e-09
meta_only,random_forest,global_default,nregret@3,72,0.027100205148807822,0.09722222222222222,219.0,5.5667955122824456e-09
meta_only,extra_trees,global_default,nregret@3,72,0.027100205148807822,0.09722222222222222,219.0,5.5667955122824456e-09
meta_only,hist_gbrt,global_default,nregret@3,72,0.027100205148807822,0.09722222222222222,219.0,5.5667955122824456e-09
