experiment,method,model,eps_abs,n_tasks,trials_to_target_mean,trials_to_target_median,max_trials
meta_only,extra_trees,extra_trees,0.01,72,7.5,4.0,452
meta_only,global_default,,0.01,72,3.1805555555555554,1.0,452
meta_only,hist_gbrt,hist_gbrt,0.01,72,7.5,4.0,452
meta_only,random,,0.01,72,10.847222222222221,6.5,452
meta_only,random_forest,random_forest,0.01,72,7.5,4.0,452
meta_only,ridge,ridge,0.01,72,7.5,4.0,452
tfidf_meta,extra_trees,extra_trees,0.01,72,2.2083333333333335,1.0,452
tfidf_meta,global_default,,0.01,72,3.1805555555555554,1.0,452
tfidf_meta,hist_gbrt,hist_gbrt,0.01,72,2.888888888888889,1.0,452
tfidf_meta,random,,0.01,72,10.847222222222221,6.5,452
tfidf_meta,random_forest,random_forest,0.01,72,2.388888888888889,1.0,452
tfidf_meta,ridge,ridge,0.01,72,3.888888888888889,2.0,452
tfidf_only,extra_trees,extra_trees,0.01,72,4.027777777777778,1.5,452
tfidf_only,global_default,,0.01,72,3.1805555555555554,1.0,452
tfidf_only,hist_gbrt,hist_gbrt,0.01,72,5.486111111111111,1.0,452
tfidf_only,random,,0.01,72,10.847222222222221,6.5,452
tfidf_only,random_forest,random_forest,0.01,72,5.652777777777778,1.0,452
tfidf_only,ridge,ridge,0.01,72,4.166666666666667,3.0,452
